stemmer,stem,distinct_original_words,originals_sample
porter,sever,10,"sever, several, severally, severance, severe, severed, severely, severing, severity, severs"
porter,defer,10,"defer, deference, deferent, deferents, deferment, deferments, deferred, deferreds, deferring, defers"
porter,impress,10,"impress, impresse, impressed, impresser, impresses, impressing, impression, impressions, impressive, impressively"
porter,intent,10,"intent, intented, intention, intentional, intentionally, intentioned, intentions, intently, intentness, intents"
porter,appreci,10,"appreciable, appreciably, appreciate, appreciated, appreciates, appreciating, appreciation, appreciations, appreciative, appreciatively"
porter,expect,10,"expect, expectable, expectancy, expectant, expectation, expectational, expectations, expected, expecting, expects"
porter,market,10,"market, marketability, marketable, marketed, marketeers, marketer, marketers, marketing, marketings, markets"
porter,predict,10,"predict, predictability, predictable, predictably, predicted, predicting, prediction, predictions, predictive, predicts"
porter,protest,10,"protest, protestant, protestants, protestation, protestations, protested, protester, protesters, protesting, protests"
porter,restor,10,"restorability, restoration, restorative, restoratives, restore, restored, restorer, restorers, restores, restoring"
porter,suggest,10,"suggest, suggested, suggestibility, suggesting, suggestion, suggestions, suggestive, suggestively, suggestiveness, suggests"
porter,revers,10,"reversal, reversals, reverse, reversed, reverses, reversibility, reversible, reversing, reversion, reversions"
porter,ear,10,"ear, eare, eared, earely, eares, earing, earings, earring, earrings, ears"
porter,travel,10,"travel, traveled, traveler, travelers, traveling, travelled, traveller, travellers, travelling, travels"
porter,select,10,"select, selected, selecting, selection, selections, selective, selectively, selectiveness, selectivity, selects"
porter,solicit,10,"solicit, solicitation, solicitations, solicited, solicites, soliciting, solicitous, solicitously, solicitousness, solicits"
porter,intern,10,"intern, internal, internalized, internally, internation, international, internationally, interne, interned, interns"
porter,adventur,10,"adventur, adventure, adventured, adventurer, adventurers, adventures, adventuring, adventurism, adventurous, adventurously"
porter,elev,10,"elevate, elevated, elevates, elevating, elevation, elevations, elevator, elevators, eleve, eleves"
porter,instruct,10,"instruct, instructed, instructer, instructers, instructing, instruction, instructional, instructions, instructive, instructs"
porter,disput,10,"disputable, disputation, disputations, dispute, disputed, disputer, disputers, disputes, disputing, disputings"
porter,divin,10,"divination, divinations, divine, divined, divinely, divineness, diviners, divining, divinities, divinity"
porter,subsid,10,"subside, subsided, subsidence, subsides, subsiding, subsidization, subsidize, subsidized, subsidizes, subsidizing"
porter,deduct,10,"deduct, deductable, deducted, deductibility, deductible, deductibles, deducting, deduction, deductions, deductive"
porter,indic,10,"indicate, indicated, indicates, indicating, indication, indications, indicative, indicator, indicators, indices"
porter,specul,10,"speculate, speculated, speculates, speculating, speculation, speculations, speculative, speculatively, speculator, speculators"
porter,cooper,10,"cooper, cooperate, cooperated, cooperates, cooperating, cooperation, cooperative, cooperatives, coopering, coopers"
porter,reform,10,"reform, reformate, reformation, reforme, reformed, reformer, reformers, reforming, reformism, reforms"
porter,precipit,10,"precipitance, precipitancy, precipitant, precipitate, precipitated, precipitately, precipitating, precipitation, precipitators, precipitous"
porter,special,10,"special, specialities, speciality, specialization, specialize, specialized, specializes, specializing, speciall, specially"
porter,demonstr,10,"demonstrable, demonstrably, demonstrate, demonstrated, demonstrates, demonstrating, demonstration, demonstrations, demonstratives, demonstrators"
porter,marvel,10,"marvel, marveled, marvelled, marvelling, marvellings, marvellous, marvellously, marvelous, marvelously, marvels"
porter,magnet,10,"magnet, magnetic, magnetically, magnetics, magnetism, magnetisms, magnetize, magnetized, magnetizing, magnets"
porter,comfort,9,"comfort, comfortable, comfortableness, comfortably, comforted, comforter, comforters, comforting, comforts"
porter,affect,9,"affect, affectation, affectations, affected, affecting, affection, affectioned, affections, affects"
porter,nomin,9,"nominal, nominalism, nominally, nominate, nominated, nominating, nomination, nominations, nomine"
porter,like,9,"like, liked, likee, likely, likeness, likenesses, likes, liking, likings"
porter,cheer,9,"cheer, cheere, cheered, cheerefully, cheerful, cheerfully, cheerfulness, cheering, cheers"
porter,promot,9,"promote, promoted, promoter, promoters, promotes, promoting, promotion, promotional, promotions"
porter,natur,9,"natur, natural, naturalism, naturalized, naturally, naturalness, nature, natured, natures"
