stemmer,stem,distinct_original_words,originals_sample
lancaster,rep,22,"rep, repal, reparation, repeal, repeale, repealed, repealing, repeals, repeat, repeated, repeatedly, repeater"
lancaster,cop,22,"cop, copa, cope, copes, copied, copiers, copies, coping, copings, copious, copiously, copiousness"
lancaster,cur,22,"cur, curacy, curate, curative, curator, cure, cured, curent, cures, curia, curing, curly"
lancaster,imp,22,"imp, impaled, impaling, impede, impeded, impeding, imperative, imperatively, imperial, imperiale, imperiales, imperialism"
lancaster,con,22,"con, conable, conan, conant, cone, coners, cones, conic, conical, conifer, coning, conn"
lancaster,pot,22,"pot, potable, potencies, potency, potent, potentate, potentates, potential, potentialities, potentiality, potentially, potentials"
lancaster,direct,21,"direct, directed, directing, direction, directional, directionality, directionally, directions, directive, directives, directivity, directly"
lancaster,pres,21,"presage, presaged, presaging, presence, presences, present, presentable, presentation, presentational, presentations, presente, presented"
lancaster,ag,21,"aga, agag, agar, agate, agates, age, aged, agee, ageements, ageing, agen, agencies"
lancaster,od,21,"oda, odd, odde, odder, oddes, oddish, oddities, oddity, oddly, odds, ode, oded"
lancaster,ban,21,"ban, banal, bane, baneful, bani, banion, banish, banished, banishes, banishing, banishment, banister"
lancaster,ant,21,"anc, ancient, anciently, ancients, ant, anta, antar, antares, ante, anteater, anted, anti"
lancaster,flo,21,"flo, float, floatation, floate, floated, floater, floaters, floating, floats, floe, floes, floor"
lancaster,an,21,"ana, anan, anat, aner, ani, anion, anionic, anionics, anions, anise, ann, annal"
lancaster,cle,21,"clean, cleane, cleaned, cleaner, cleaners, cleaning, cleanliness, cleanly, cleanness, cleans, cleary, cleat"
lancaster,pass,20,"pass, passable, passage, passages, passant, passe, passed, passer, passers, passes, passing, passion"
lancaster,us,20,"usa, usable, usag, usage, usages, use, useable, used, useful, usefully, usefulness, user"
lancaster,comp,20,"comp, companion, companionable, companionableness, companionably, companions, companionship, compar, comparability, comparable, comparative, comparatively"
lancaster,mil,20,"mil, mila, milan, milar, mile, mileage, miles, mili, mill, mille, milled, millen"
lancaster,wil,20,"wil, wile, wiles, wilful, wilfully, wilfulness, willed, willes, willful, willfully, willie, willing"
lancaster,vis,20,"vis, visa, visage, visaged, visages, vise, visibility, visible, visibly, vision, visionary, visions"
