stemmer,stem,distinct_original_words,originals_sample
snowball,visit,10,"visit, visitant, visitants, visitation, visitations, visite, visited, visiting, visitings, visits"
snowball,separ,10,"separable, separate, separated, separately, separateness, separates, separating, separation, separations, separators"
snowball,accept,10,"accept, acceptability, acceptable, acceptably, acceptance, acceptances, acceptation, accepted, accepting, accepts"
snowball,anim,10,"anim, animal, animals, animate, animated, animating, animation, animed, animism, animized"
snowball,question,10,"question, questionable, questionably, questioned, questioner, questioners, questioning, questioningly, questionings, questions"
snowball,reflect,10,"reflect, reflectance, reflected, reflecting, reflection, reflections, reflective, reflectively, reflectiveness, reflects"
snowball,import,10,"import, importance, important, importantly, importation, imported, importer, importers, importing, imports"
snowball,imagin,10,"imaginable, imagination, imaginations, imaginative, imaginatively, imagine, imagined, imagines, imagining, imaginings"
snowball,manag,10,"manage, manageable, managed, management, managements, manager, managers, manages, managing, managment"
snowball,compet,10,"compete, competed, competence, competency, competent, competently, competes, competing, competion, competiveness"
snowball,consult,10,"consult, consultancy, consultant, consultants, consultation, consultations, consultative, consulted, consulter, consulting"
snowball,measur,10,"measur, measurable, measurably, measure, measured, measurement, measurements, measurer, measures, measuring"
snowball,public,10,"public, publically, publication, publications, publicity, publicize, publicized, publicizing, publicly, publics"
snowball,refin,10,"refinance, refine, refined, refinement, refinements, refiner, refiners, refines, refining, refiningly"
snowball,defer,10,"defer, deference, deferent, deferents, deferment, deferments, deferred, deferreds, deferring, defers"
snowball,impress,10,"impress, impresse, impressed, impresser, impresses, impressing, impression, impressions, impressive, impressively"
snowball,advis,10,"advisability, advisable, advise, advised, advisedly, advisement, adviser, advisers, advises, advising"
snowball,intent,10,"intent, intented, intention, intentional, intentionally, intentioned, intentions, intently, intentness, intents"
snowball,appreci,10,"appreciable, appreciably, appreciate, appreciated, appreciates, appreciating, appreciation, appreciations, appreciative, appreciatively"
snowball,market,10,"market, marketability, marketable, marketed, marketeers, marketer, marketers, marketing, marketings, markets"
snowball,predict,10,"predict, predictability, predictable, predictably, predicted, predicting, prediction, predictions, predictive, predicts"
snowball,protest,10,"protest, protestant, protestants, protestation, protestations, protested, protester, protesters, protesting, protests"
snowball,restor,10,"restorability, restoration, restorative, restoratives, restore, restored, restorer, restorers, restores, restoring"
snowball,suggest,10,"suggest, suggested, suggestibility, suggesting, suggestion, suggestions, suggestive, suggestively, suggestiveness, suggests"
snowball,revers,10,"reversal, reversals, reverse, reversed, reverses, reversibility, reversible, reversing, reversion, reversions"
snowball,travel,10,"travel, traveled, traveler, travelers, traveling, travelled, traveller, travellers, travelling, travels"
snowball,select,10,"select, selected, selecting, selection, selections, selective, selectively, selectiveness, selectivity, selects"
snowball,solicit,10,"solicit, solicitation, solicitations, solicited, solicites, soliciting, solicitous, solicitously, solicitousness, solicits"
snowball,intern,10,"intern, internal, internalized, internally, internation, international, internationally, interne, interned, interns"
snowball,adventur,10,"adventur, adventure, adventured, adventurer, adventurers, adventures, adventuring, adventurism, adventurous, adventurously"
snowball,elev,10,"elevate, elevated, elevates, elevating, elevation, elevations, elevator, elevators, eleve, eleves"
snowball,instruct,10,"instruct, instructed, instructer, instructers, instructing, instruction, instructional, instructions, instructive, instructs"
snowball,human,10,"human, humane, humanely, humanism, humanities, humanity, humanize, humanly, humanness, humans"
snowball,disput,10,"disputable, disputation, disputations, dispute, disputed, disputer, disputers, disputes, disputing, disputings"
snowball,divin,10,"divination, divinations, divine, divined, divinely, divineness, diviners, divining, divinities, divinity"
snowball,subsid,10,"subside, subsided, subsidence, subsides, subsiding, subsidization, subsidize, subsidized, subsidizes, subsidizing"
snowball,deduct,10,"deduct, deductable, deducted, deductibility, deductible, deductibles, deducting, deduction, deductions, deductive"
snowball,indic,10,"indicate, indicated, indicates, indicating, indication, indications, indicative, indicator, indicators, indices"
snowball,specul,10,"speculate, speculated, speculates, speculating, speculation, speculations, speculative, speculatively, speculator, speculators"
snowball,cooper,10,"cooper, cooperate, cooperated, cooperates, cooperating, cooperation, cooperative, cooperatives, coopering, coopers"
snowball,reform,10,"reform, reformate, reformation, reforme, reformed, reformer, reformers, reforming, reformism, reforms"
snowball,precipit,10,"precipitance, precipitancy, precipitant, precipitate, precipitated, precipitately, precipitating, precipitation, precipitators, precipitous"
snowball,special,10,"special, specialities, speciality, specialization, specialize, specialized, specializes, specializing, speciall, specially"
